,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
0,0,2000,0,0,0.0,148096.37994372647,121349.24823188919,-18.06062492682173,136505.12038426308,139905.82877385913,2.4912680052023175,284601.5003279896,261255.07700574835,-8.20319755705279,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 4004.9765169054535, 5087.793494630661, 5185.3285772787085, 5999.985954222026, 4000.1039990686677, 4478.981918022724, 4759.255602644585, 5333.413761551615, 6000.0, 6000.0], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3999.964017927783, 3999.9842599859003, 3313.0904864369613, 3999.9499137659914, 2000.346744790346, 2834.5629596822023, 2000.025600891176, 2367.2301094279082, 2000.1445825210901, 2814.318175004518]]"
1,1,2000,0,0,0.0,136388.76346225975,124337.98171782788,-8.835611848454407,148160.0852876431,139879.70812355282,-5.588804263992205,284548.84874990286,264217.6898413807,-7.145050488814921,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 4000.0, 4000.0, 4339.758571851627, 4887.830852309358, 4668.071893334947, 5511.375513539344, 5125.619998861186, 6000.0, 6000.0, 6000.0], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 2000.0, 4000.0, 2561.133296053361, 2000.000000026431, 3171.7592002331075, 2000.0000000021573, 4000.0, 2000.0, 3171.5505063376204, 4000.0]]"
2,2,2000,0,0,0.0,137612.16213461044,123393.8436723749,-10.332167042275927,148160.21439816203,139879.31785086697,-5.589149948879793,285772.3765327725,263273.1615232419,-7.873124506472506,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 4000.0, 5204.54281818516, 4933.389709848216, 4632.138076305968, 4495.850454315014, 5509.816499188351, 6000.0, 6000.0, 4000.0004106396236, 5999.999999995287], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 2000.0, 3197.621961766139, 2000.0, 3614.0758724453544, 2527.7445617534654, 2000.0, 3222.9706966744607, 2000.0, 4000.0, 4000.0]]"
3,3,2500,0,0,0.0,148050.3450587632,111403.57205979303,-24.752912925954046,148160.21439816203,148160.21439816203,0.0,296210.5594569253,259563.78645795508,-12.371865832925979,False,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 5000.0, 5354.489855423306, 5002.176240207309, 6035.812261856052, 5894.826474372698, 5666.70656583904, 6999.999999999999, 7000.0, 6997.472341762541, 7000.0], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 2933.3550261914916, 3335.1155032073057, 4499.530717906042, 4497.876385108375, 3729.4945410667797, 2500.0, 3799.5527180070267, 3120.176555411314, 4500.0, 2500.0]]"
4,4,2500,0,0,0.0,148017.06555383545,111520.06518972036,-24.657292203134997,148160.21439816203,148160.21439816203,0.0,296177.27995199757,259680.2795878824,-12.322687401960867,False,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 5000.0, 5000.0, 5889.003222094287, 5479.34729181273, 5655.1217993576865, 6102.331644890787, 7000.0, 7000.0, 7000.0, 7000.0], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 4033.847681533258, 2500.0000000765494, 2719.3795358076172, 4500.0, 3528.34459589968, 4242.410143677673, 4500.0, 3761.360529292724, 2500.0, 3067.62872891898]]"
5,5,2500,0,0,0.0,147996.6552966934,87405.66759904951,-40.94078178738249,148160.21439816203,148160.21439816203,0.0,296156.8696948555,235565.88199721155,-20.45908567310078,False,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 5012.1523655182355, 6005.677793453258, 5004.311805445106, 5003.502481984702, 5008.381603065018, 7000.0, 6061.099983491373, 6022.9032656433565, 6999.966600159162, 7000.0], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3135.158551564094, 3561.249197374958, 3742.585118070313, 4499.999999967729, 2500.0, 3495.435869697734, 2500.2664556592877, 4499.972143075376, 2500.000018523969, 4500.0]]"
6,6,3000,0,0,0.0,148090.31278389096,100533.44766501182,-32.11342067207269,148160.21439816203,148160.21439816203,0.0,296250.52718205296,248693.66206317395,-16.05292168464368,False,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 6000.0, 6000.0, 6575.874402903401, 6996.324734800493, 7142.256840554285, 8000.0, 6000.000427968661, 8000.0, 8000.0, 8000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4117.755536889774, 5000.0, 3779.065175458878, 3000.0, 4651.146338455234, 5000.0, 3000.0, 3635.4442482701475, 3000.0, 4318.9267082632905]]"
7,7,3000,0,0,0.0,148059.73992928406,97792.69673482269,-33.950514311635146,148160.21439816203,148160.21439816203,0.0,296219.9543274461,245952.9111329847,-16.969499339972028,False,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 6000.0000000000055, 6000.0, 6000.000000000001, 6702.97269806831, 7295.747456196087, 7999.999999999999, 7999.999999999999, 6000.000000000002, 7210.100256042486, 8000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 3664.175313356842, 4305.878534886899, 5000.0, 3513.592433802915, 4234.523642279695, 4231.803167446304, 5000.0, 3000.0000000000005, 3000.0000001132003, 3000.0]]"
8,8,3000,0,0,0.0,148088.90157516472,112631.49556191545,-23.94332433835519,148160.21439816203,148160.21439816203,0.0,296249.1159733267,260791.70996007745,-11.968780361336755,False,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 6000.0, 6000.0, 6000.0, 7005.884425473239, 6539.92852267104, 7194.353486207945, 6917.554815138738, 8000.0, 8000.0, 8000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 3000.0, 4942.909219368493, 3931.2256784249444, 3915.8801201820916, 4975.814726688547, 4999.999994883197, 3000.0, 3000.0, 3866.635192369804, 5000.0]]"
9,9,2000,0,0,15.0,139824.5026782625,128626.9057392177,-8.008322378811227,141455.1235188171,144062.43559453785,1.8432079452915062,281279.62619707966,272689.3413337555,-3.0540018057707887,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 4921.799889120849, 4000.0000295503996, 4420.860590333024, 4000.0, 4954.775818867727, 6000.0, 6000.0, 4981.994766883439, 5999.999991910591, 6000.0], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 4000.0, 4000.0, 2988.0245494510796, 2000.0, 2949.1573290857978, 3342.9641474009068, 4000.0, 2000.0, 2000.0, 2706.320346218811]]"
