,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
0,0,2000.0,90,0,0.0,147813.9794236548,115360.90931696308,-21.955345653523633,102245.38173818306,117912.63105277868,15.323185309938319,250059.36116183782,233273.54036974182,-6.712734413982708,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.0000000001007, 2000.000000021808, 2000.000000000534, 2579.7503318991153, 2251.4244781901325, 3137.350291764218, 3333.4134897793374, 3999.9999999998327, 3999.9999999998927, 3999.9999999999272], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 4000.0000000000127, 4602.863120130245, 5999.999999999829, 6000.0, 5191.204629874612, 4546.661303775038, 5999.999999979652, 4000.0000000025293, 5999.999999999969, 5049.24355435396]]"
1,1,2000.0,90,0,0.0,148136.611919658,110255.11037458094,-25.57200482323851,104178.13994940625,116421.17002727378,11.752014466579377,252314.75186906423,226676.28040185472,-10.161304988031098,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.0000000000002, 2000.0032414484024, 2484.890358178016, 2000.1501612333718, 2893.2003576739885, 3138.8822118442986, 3999.999999999999, 2673.323874331329, 3999.999983977511, 4000.0], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 4659.809695161053, 5999.999999999999, 4000.0000909531364, 5415.681545585829, 5211.803681365102, 6000.0, 4159.8567902886825, 4507.099346158764, 5005.61195453822, 6000.0]]"
2,2,2000.0,90,0,0.0,148067.94116150486,112116.1071380412,-24.280633431817122,102830.93215072303,118662.11319406508,15.395349154413683,250898.8733122279,230778.22033210628,-8.01942739498982,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.0008817967168, 2000.0000000000005, 2000.006356032701, 2899.8934535328694, 2482.8106142041884, 2970.247823251062, 3412.0583896191683, 4000.0, 3968.085397979904, 3999.9998875462907], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 5306.130248004929, 6000.0, 4000.0013399306235, 4381.279161846364, 4968.120388457859, 6000.0, 5059.164964394617, 6000.0, 4053.754288623696, 5032.330138231944]]"
3,3,2000.0,90,0,15.0,137446.28278600037,131293.0148401845,-4.476852935627452,118849.59551970477,126699.42671955957,6.604844690913005,256295.87830570515,257992.44155974404,0.6619549503700017,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.0000000000111, 2000.0000000000002, 2000.00212956275, 2512.5141726469114, 2657.6580026375414, 3362.8781963982674, 3999.999999998676, 3999.9999999997844, 3999.9998592294496, 3999.999999998631], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 5180.152792920317, 5999.999999999987, 4000.0002467523705, 4576.106798304893, 6000.0, 5999.999999996813, 6000.0, 4000.000000000311, 5284.138652766125, 4636.723644780104]]"
4,4,2000.0,90,0,15.0,138182.4962432157,137266.65415924805,-0.6627772032397373,124394.85413369013,123503.10877139236,-0.7168667614975316,262577.3503769058,260769.76293064046,-0.6884018913553406,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.0000000000002, 2000.0000000000002, 2383.3327499231623, 2879.912217826975, 2944.775217466412, 3236.834656648061, 3434.943633783107, 3707.5122223536137, 4000.0, 4000.0], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 6000.0, 4465.898865770059, 6000.0, 6000.0, 4511.402101815738, 4000.0, 6000.0, 5216.273672469912, 6000.0, 4486.35352676643]]"
5,5,2000.0,90,0,15.0,135957.11748762365,135532.3466149491,-0.3124300371499128,120213.79511018518,123156.7347970487,2.4480881617339283,256170.9125978088,258689.08141199785,0.9830034130934243,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.0000198204484, 2000.0933317482952, 2000.0000000000002, 2627.529147557082, 2741.483433329726, 3365.723288303313, 3672.584671477218, 3623.8435724567935, 3999.9786926004954, 4000.0], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 4001.73233317824, 5075.913254863797, 6000.0, 6000.0, 4264.048917552796, 6000.0, 5598.718997817097, 4538.088253397756, 5148.5537959182175, 4000.0]]"
6,6,2000.0,90,0,30.0,132611.18989729972,135542.82817212955,2.210702035854012,123006.96341551298,124633.00766534235,1.3219123573814704,255618.15331281268,260175.8358374719,1.7830042450395809,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.798931556752, 2000.0012240256128, 2785.2881317857436, 2000.0007970265308, 2694.688512794294, 2943.4493103605237, 3030.412323739126, 4000.0, 3999.6206074764814, 4000.0], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 4000.000535374521, 4952.092438595651, 5358.128405315252, 6000.0, 5999.998269566115, 4561.9682423476825, 4001.448163750797, 5072.872321721157, 4058.839062143995, 6000.0]]"
7,7,2000.0,90,0,30.0,133243.59213853691,134362.18810747808,0.839512017792296,124023.8254783581,127215.52502354962,2.573456779680174,257267.41761689505,261577.71313102767,1.6754144594210603,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.0000000000002, 2000.0000000000002, 2000.0000000000002, 2718.0304730299877, 2756.477456247398, 3716.2884317409435, 2756.8316251517776, 4000.0, 4000.0, 3998.925900824469], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 6000.0, 4725.106245042412, 4000.0, 6000.0, 4658.924914002336, 5606.373119177948, 5396.724884666756, 6000.0, 4000.303707834612, 4656.750979593728]]"
8,8,2000.0,90,0,30.0,134040.77722659675,136805.18549527993,2.0623636522264666,118426.67632815927,124115.48709728093,4.803656528667589,252467.45355475604,260920.67259256085,3.3482410975288133,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.0000000000002, 2679.707279673329, 2000.0001555606525, 2000.0011950344858, 2990.18098574469, 2943.8861011315257, 3999.9988744912444, 3520.963882116785, 3999.9163095503854, 3999.99136980926], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 5999.994787350803, 6000.0, 4976.78267911367, 4000.000005067324, 5517.834813955491, 4000.0018541489358, 5212.071417983398, 4662.427191120316, 6000.0, 4000.0011905906913]]"
9,9,2000.0,90,0,45.0,127913.12254632999,136782.58885532402,6.933976852751382,111884.1055836702,119353.10624726424,6.6756583740203395,239797.22813000015,256135.69510258827,6.813451139531366,False,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.0000000000005, 2000.0000000000007, 2000.0000000000007, 2981.3155087798486, 3999.999999999998, 2972.7529058682294, 2000.0000000000002, 3281.1442926341165, 4000.0, 3999.9999999999995], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 5430.309670296612, 4000.0, 5999.999999999999, 4000.023450251315, 4980.413987251652, 6000.0, 4724.254846449326, 5286.137436875675, 6000.0, 4000.000007258248]]"
