,distance,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
1,2000.0,15.0,136872.2247907621,136129.91493612467,-0.5423378306096802,128477.56244332911,131062.56770321177,2.0120285680411265,265349.7872340912,267192.48263933643,0.6944401291792299,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.8844356313270884e-13, 1.9390501168692372e-13, 1.603701570671882e-13, 631.6598989721263, 687.0239842800414, 1379.3626700848226, 1295.1092033265024, 1374.653200061627, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2000.0, 4000.0, 3021.526436360301, 3489.9947983125976, 2000.0, 2000.0, 4000.0, 2964.3992344576336, 2000.0, 4000.0]]]"
2,2200.0,15.0,136570.47797898276,134744.4752491706,-1.337040593863324,132276.34842897102,133371.29242324855,0.8277700490541526,268846.82640795375,268115.76767241914,-0.2719238851736651,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 8.184323830845126e-08, 1.435274612572686e-13, 1.5373528672591045e-13, 759.8537418758146, 773.4950249251252, 1025.790925133708, 1455.9838009285832, 2000.0000000000002, 1999.999943563339, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2921.7671273528367, 4200.0, 2200.0, 4200.0, 2567.7268161273155, 3594.0217832856147, 2313.556662815465, 4200.0, 3149.6826957363214, 2200.0]]]"
3,2400.0,15.0,135954.20393032653,134898.1589825382,-0.7767652027365938,133382.25445251388,134110.3911121006,0.5459021985911496,269336.45838284044,269008.5500946388,-0.12174671419179753,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.8348648338446629e-13, 347.5591522245294, 2.3598531630395156e-13, 685.8819202249834, 1081.566005262927, 942.9180341393106, 1307.2169040754352, 2000.0000000000002, 2000.0000000000002, 1999.9864967377493], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2400.0, 3451.4588631945726, 4400.0, 4400.0, 2984.6501936972486, 2400.0, 3938.3619501668004, 4400.0, 2400.0, 3463.0840744945676]]]"
4,2600.0,15.0,135305.2153310718,135946.25512981013,0.4737731632663154,135454.42823414097,135112.56570936684,-0.25238194810670916,270759.6435652128,271058.82083917694,0.1104955192083871,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.6744982763165448e-13, 3.0359088936507127e-05, 2.4167174146269983e-06, 730.1662909024722, 796.2367374760706, 1429.9425770020823, 1726.786392146996, 1166.9237623197657, 1999.9863205268462, 1999.9999912809747], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2600.0, 3523.1335327942393, 4600.0, 3887.2442606847176, 2600.0, 3519.412187206671, 2600.0, 4600.0, 3196.572295336647, 4599.604797743754]]]"
5,2800.0,15.0,136448.0134712062,135856.71777257122,-0.4333487044571496,134579.5727809192,135818.16923150065,0.9203450605373428,271027.5862521254,271674.8870040719,0.23883205429293866,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.444493239776345e-13, 2.0831174198114999e-13, 3.3729809952991286e-13, 502.88049016119555, 1030.249622148357, 745.5266254866527, 1405.9418338904027, 2000.0000000000002, 2000.0, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4800.0, 2800.0, 3558.3236863499524, 4141.203478899646, 4799.999999999999, 2800.0, 2800.000000000001, 4800.0, 3874.422594137621, 2800.0]]]"
6,3000.0,15.0,138343.4713743326,136525.94178272918,-1.313780530116617,136773.18225407766,136980.46071307917,0.15154905046842798,275116.6536284103,273506.4024958084,-0.5852975860839147,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.3645468224495746e-13, 1.8931977549440293e-13, 341.21498685707587, 635.1994538393487, 677.0211287463252, 1331.0844212247018, 1034.1150823523324, 2000.0, 1999.999552395622, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3000.0, 5000.0, 4188.015369524971, 5000.0, 3617.176163075446, 5000.0, 3000.0, 5000.0, 3971.3222470033534, 3000.0]]]"
7,3200.0,15.0,138515.86752282092,137661.33087475528,-0.6169232907015869,136789.45445525667,138064.03386734516,0.9317819251230415,275305.3219780776,275725.3647421005,0.15257342684292022,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 5.278836006769299e-13, 2.0117179180037159e-13, 456.18867470062395, 438.7771157980259, 894.490998133322, 951.2496721782992, 1221.6800577940617, 1479.92128065458, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3200.0, 5200.0, 4169.23601421015, 5199.999999999999, 3542.9795786648087, 5199.999999999999, 3200.0, 5200.0, 3886.2604173147333, 5200.0]]]"
8,3400.0,15.0,136798.18831039974,135228.32186397645,-1.1475783896064513,137919.09573766167,138279.7619321775,0.26150562587928805,274717.28404806147,273508.083796154,-0.44016169426598994,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.677822371013603e-13, 2.1863696858997547e-13, 967.8479687063381, 494.3564681483253, 3.8864458993258273e-08, 1412.0296492676428, 1999.9999999999993, 1169.166933927878, 1999.9999999580784, 1999.9583634352784], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3400.0, 5400.0, 5400.0, 3400.0, 4621.326045590996, 4075.8197715281503, 5400.0, 3400.0, 4456.440630418771, 3400.0000000399305]]]"
9,3600.0,15.0,137785.9747002619,126848.22259727409,-7.9382187677531615,139332.53550882198,140813.43431198772,1.0628521168854856,277118.51020908385,267661.6569092618,-3.4125664477219333,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.332279924663112e-13, 2.6465373580784305e-13, 2.804159694516425e-09, 2.2590388923489264e-13, 1122.5401179338442, 1156.8453938355203, 1143.9559736293922, 2000.0000000000002, 1179.3954665971464, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4136.022437577233, 3600.0000000000005, 4845.977750126827, 5600.0, 3600.000000000001, 4891.038298709706, 4159.937848348979, 3600.0000000000005, 5600.0, 5600.0]]]"
10,3800.0,15.0,136503.87768816418,131752.48617084324,-3.4807740247315455,140253.53867926612,140682.11644605882,0.30557358540006696,276757.4163674303,272434.60261690203,-1.5619504645140876,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 3.7204751477679827e-13, 0.2277374540261528, 660.3651810322602, 0.1923919413216259, 3.8162424494030285e-12, 1332.5375657705956, 1999.9999999999536, 1105.5906026901423, 2000.0000000000002, 1999.9999999999495], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5799.999999999984, 4349.473028212149, 5799.999999999974, 3800.3205987452297, 5011.867646358747, 5799.999999999943, 4751.7263960928385, 3800.0000000000064, 5799.999999999873, 3800.0]]]"
