,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,fixed farm base power,total farm base power,overlap_flag
0,0,2000,0,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,False
1,1,2000,45,0,0.0,148160.21439816206,133276.1385601695,281436.3529583315,True
2,2,2000,90,0,0.0,148160.21439816206,105156.55808110048,253316.77247926255,False
3,3,2000,135,0,0.0,148160.21439816206,133995.00012509266,282155.2145232547,True
4,4,2000,180,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,True
5,5,2000,225,0,0.0,133293.6462542434,148160.21439816203,281453.8606524055,True
6,6,2000,270,0,0.0,105119.21722235445,148160.21439816203,253279.43162051647,True
7,7,2000,315,0,0.0,133979.535403243,148160.21439816203,282139.749801405,True
8,8,2500,0,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,False
9,9,2500,45,0,0.0,148160.21439816206,138220.29321383018,286380.50761199225,True
10,10,2500,90,0,0.0,148160.21439816206,115240.89621703085,263401.1106151929,False
11,11,2500,135,0,0.0,148160.21439816206,138156.0418742348,286316.2562723969,True
12,12,2500,180,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,True
13,13,2500,225,0,0.0,138168.85372691232,148160.21439816203,286329.0681250744,True
14,14,2500,270,0,0.0,115211.40664158035,148160.21439816203,263371.62103974243,True
15,15,2500,315,0,0.0,138155.50260554845,148160.21439816203,286315.7170037105,True
16,16,3000,0,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,False
17,17,3000,45,0,0.0,148160.21439816206,146459.90096146544,294620.1153596275,False
18,18,3000,90,0,0.0,148160.21439816206,121754.04344264185,269914.25784080394,False
19,19,3000,135,0,0.0,148160.21439816206,146535.14815701777,294695.3625551798,True
20,20,3000,180,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,True
21,21,3000,225,0,0.0,146494.36273932108,148160.21439816203,294654.57713748317,True
22,22,3000,270,0,0.0,121729.85321556314,148160.21439816203,269890.0676137252,True
23,23,3000,315,0,0.0,146584.3985569397,148160.21439816203,294744.6129551017,False
24,24,2000,0,0,15.0,148148.3344463449,148148.0811148217,296296.41556116665,False
25,25,2000,45,0,15.0,148149.09592502384,130681.30540403075,278830.40132905456,True
26,26,2000,90,0,15.0,148149.09220261278,119151.8270800923,267300.9192827051,False
27,27,2000,135,0,15.0,148149.0882799483,130759.72696300772,278908.81524295604,True
28,28,2000,180,0,15.0,148148.08103512437,148148.33438500026,296296.4154201246,True
