,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,fixed farm base power,total farm base power,overlap_flag
0,0,2000.0,90,0,0.0,148160.21439816206,105156.55808110048,253316.77247926255,False
1,1,2200.0,90,0,0.0,148160.21439816206,109756.61987017578,257916.83426833787,False
2,2,2400.0,90,0,0.0,148160.21439816206,113573.93776864382,261734.1521668059,False
3,3,2600.0,90,0,0.0,148160.21439816206,116769.07341366069,264929.2878118228,False
4,4,2800.0,90,0,0.0,148160.21439816206,119464.17956105185,267624.39395921386,False
5,5,3000.0,90,0,0.0,148160.21439816206,121754.04344264185,269914.25784080394,False
6,6,3200.0,90,0,0.0,148160.21439816206,123768.1406823456,271928.3550805077,False
7,7,3400.0,90,0,0.0,148160.21439816206,125678.53367886158,273838.74807702366,False
8,8,3600.0,90,0,0.0,148160.21439816206,127336.17210503851,275496.38650320057,False
9,9,3800.0,90,0,0.0,148160.21439816206,128784.61442723946,276944.8288254015,False
10,10,4000.0,90,0,0.0,148160.21439816206,130059.09294211035,278219.3073402724,False
11,11,2000.0,90,0,15.0,148149.09220261278,119151.8270800923,267300.9192827051,False
12,12,2200.0,90,0,15.0,148149.09213139815,121277.2803692388,269426.37250063696,False
13,13,2400.0,90,0,15.0,148149.09218841224,122392.34327180371,270541.435460216,False
14,14,2600.0,90,0,15.0,148149.0920111334,125099.80144581065,273248.89345694403,False
15,15,2800.0,90,0,15.0,148149.09183018852,127953.36762816028,276102.4594583488,False
16,16,3000.0,90,0,15.0,148149.09183018852,130130.80849092762,278279.90032111615,False
17,17,3200.0,90,0,15.0,148149.09190185403,131862.34635234598,280011.43825420004,False
18,18,3400.0,90,0,15.0,148149.09195576582,133336.13805439093,281485.23001015675,False
19,19,3600.0,90,0,15.0,148149.0920662217,134618.6832877317,282767.7753539534,False
20,20,3800.0,90,0,15.0,148149.09207553905,135755.1139237186,283904.2059992577,False
21,21,4000.0,90,0,15.0,148149.09239984484,136761.5822261155,284910.67462596035,False
22,22,2000.0,90,0,30.0,145532.125235604,124372.02449634689,269904.14973195095,False
23,23,2200.0,90,0,30.0,145532.115204672,126767.38157722796,272299.49678189994,False
24,24,2400.0,90,0,30.0,145532.16780376039,127792.11523602968,273324.2830397901,False
25,25,2600.0,90,0,30.0,145532.1931912123,130042.44350692886,275574.6366981412,False
26,26,2800.0,90,0,30.0,145532.1108618445,132187.58119453973,277719.6920563843,False
27,27,3000.0,90,0,30.0,145532.09237431566,133784.02262317244,279316.1149974881,False
28,28,3200.0,90,0,30.0,145532.10377984558,135077.09511306114,280609.1988929067,False
29,29,3400.0,90,0,30.0,145532.12145101637,136163.53221001194,281695.6536610283,False
30,30,3600.0,90,0,30.0,145532.13063827564,137094.93866779844,282627.0693060741,False
31,31,3800.0,90,0,30.0,145532.1294990775,137911.32397330506,283443.45347238256,False
32,32,4000.0,90,0,30.0,145532.12033847248,138620.11339656264,284152.2337350352,False
33,33,2000.0,90,0,45.0,136067.8489432278,120372.91134884451,256440.76029207231,False
34,34,2200.0,90,0,45.0,136077.69673097972,122364.13054445313,258441.82727543285,False
35,35,2400.0,90,0,45.0,136083.0403244644,123226.89597226969,259309.93629673406,False
36,36,2600.0,90,0,45.0,136088.17588095673,124957.08708120318,261045.26296215985,False
37,37,2800.0,90,0,45.0,136090.934935382,126556.48052169618,262647.4154570782,False
38,38,3000.0,90,0,45.0,136093.079503647,127740.27453652618,263833.3540401732,False
39,39,3200.0,90,0,45.0,136094.94563594725,128700.88737721555,264795.8330131628,False
40,40,3400.0,90,0,45.0,136096.50419494463,129501.40186746344,265597.90606240806,False
41,41,3600.0,90,0,45.0,136097.608614519,130182.32011533421,266279.9287298532,False
42,42,3800.0,90,0,45.0,136098.4596169374,130776.70445234083,266875.1640692782,False
