,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,fixed farm base power,total farm base power,overlap_flag
0,0,2000,0,0,0.0,104663.90270668575,139880.87444999805,244544.77715668385,False
1,1,2000,45,0,0.0,107899.08742619399,135641.15444753773,243540.24187373172,True
2,2,2000,90,0,0.0,107899.08742619399,113923.25915109838,221822.34657729237,False
3,3,2000,135,0,0.0,107899.08742619399,136029.2975808913,243928.38500708528,True
4,4,2000,180,0,0.0,104653.25717003415,139879.6620820766,244532.9192521108,True
5,5,2000,225,0,0.0,102251.33821791224,148160.21439816203,250411.55261607433,True
6,6,2000,270,0,0.0,78078.48345192708,148160.21439816203,226238.69785008917,True
7,7,2000,315,0,0.0,102702.29421284299,148160.21439816203,250862.50861100506,True
8,8,2500,0,0,0.0,107900.41551802866,148160.21439816203,256060.62991619066,False
9,9,2500,45,0,0.0,107899.08742619399,137472.98217797413,245372.0696041681,True
10,10,2500,90,0,0.0,107899.08742619399,122430.0280487786,230329.11547497258,False
11,11,2500,135,0,0.0,107899.43598467209,137415.75378362992,245315.18976830205,True
12,12,2500,180,0,0.0,107899.08742619399,148160.21439816203,256059.30182435605,True
13,13,2500,225,0,0.0,98522.45900701462,148160.21439816203,246682.67340517667,True
14,14,2500,270,0,0.0,88315.98391462018,148160.21439816203,236476.19831278225,True
15,15,2500,315,0,0.0,98439.84539576301,148160.21439816203,246600.05979392512,True
16,16,3000,0,0,0.0,107899.80908317553,148160.21439816203,256060.0234813376,False
17,17,3000,45,0,0.0,107899.08742619399,145942.7899029044,253841.87732909838,False
18,18,3000,90,0,0.0,107899.08742619399,127527.23785833619,235426.32528453015,False
19,19,3000,135,0,0.0,107899.43598467209,146041.11818016085,253940.55416483295,True
20,20,3000,180,0,0.0,107899.08742619399,148160.21439816203,256059.30182435605,True
21,21,3000,225,0,0.0,107522.65376796616,148160.21439816203,255682.86816612817,True
22,22,3000,270,0,0.0,89220.67903465775,148160.21439816203,237380.89343281978,True
23,23,3000,315,0,0.0,107474.34992401254,148160.21439816203,255634.56432217456,False
24,24,2000,0,0,15.0,132894.3891128857,143914.84953028633,276809.238643172,False
25,25,2000,45,0,15.0,136098.404872083,129931.96283830643,266030.36771038943,True
26,26,2000,90,0,15.0,136098.40993114526,119487.34852158054,255585.75845272583,False
27,27,2000,135,0,15.0,136098.41651389896,130021.78325609304,266120.19976999203,True
28,28,2000,180,0,15.0,132880.71069801835,143914.54976298724,276795.2604610056,True
29,29,2000,225,0,15.0,119689.88726582735,148149.1032400387,267838.99050586607,True
30,30,2000,270,0,15.0,109834.3059390238,148149.09196677228,257983.39790579613,True
