,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,fixed farm base power,total farm base power,overlap_flag
0,0,2000.0,90,0,0.0,107899.08742619399,113923.25915109838,221822.34657729237,False
1,1,2200.0,90,0,0.0,107899.08742619399,117971.65750941483,225870.74493560882,False
2,2,2400.0,90,0,0.0,107899.08742619399,121087.83636766851,228986.9237938625,False
3,3,2600.0,90,0,0.0,107899.08742619399,123665.75665843506,231564.8440846291,False
4,4,2800.0,90,0,0.0,107899.08742619399,125782.93933863266,233682.02676482667,False
5,5,3000.0,90,0,0.0,107899.08742619399,127527.23785833619,235426.32528453015,False
6,6,3200.0,90,0,0.0,107899.08742619399,129050.16066328067,236949.24808947468,False
7,7,3400.0,90,0,0.0,107899.08742619399,130333.6827267659,238232.7701529599,False
8,8,3600.0,90,0,0.0,107899.08742619399,131436.1451776007,239335.23260379475,False
9,9,3800.0,90,0,0.0,107899.08742619399,132415.11767726796,240314.205103462,False
10,10,4000.0,90,0,0.0,107899.08742619399,133316.75001990344,241215.8374460974,False
11,11,2000.0,90,0,15.0,136098.40993114526,119487.34852158054,255585.75845272583,False
12,12,2200.0,90,0,15.0,136098.4103034915,122296.00936604933,258394.41966954083,False
13,13,2400.0,90,0,15.0,136098.4251965558,124348.30434119413,260446.72953774992,False
14,14,2600.0,90,0,15.0,136098.37984992974,126754.03642033521,262852.41627026495,False
15,15,2800.0,90,0,15.0,136097.9208226947,129030.49345782696,265128.4142805216,False
16,16,3000.0,90,0,15.0,136098.43412382793,131032.14349176234,267130.57761559024,False
17,17,3200.0,90,0,15.0,136098.2810496058,132342.3758662967,268440.6569159025,False
18,18,3400.0,90,0,15.0,136098.41868107082,133386.52699024198,269484.9456713128,False
19,19,3600.0,90,0,15.0,136098.40993114447,134601.34601377105,270699.7559449155,False
20,20,3800.0,90,0,15.0,136098.3825180047,135785.24145876628,271883.62397677096,False
21,21,4000.0,90,0,15.0,136098.2552872041,136872.73076333056,272970.98605053464,False
22,22,2000.0,90,0,30.0,137836.70418692846,121591.16957977448,259427.87376670295,False
