,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
0,0,2001.0,90,0,0.0,148160.21439816206,112598.20706964345,-24.002400018773027,105181.83432369071,115067.67271045959,9.39880774121681,253342.04872185277,227665.87978010307,-10.134981173196348,False,"[[2001.0, 2223.222222222222, 2445.4444444444443, 2667.666666666667, 2889.8888888888887, 3112.1111111111113, 3334.3333333333335, 3556.5555555555557, 3778.777777777778, 4001.0, 2001.000000000003, 2001.0000000000111, 2001.0000000000164, 2001.0000000000337, 2676.260800152087, 3297.645535253579, 4000.9999999999736, 3599.3893319605554, 3800.5683436374065, 4000.9999999771426], [3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 6001.999999999927, 4473.237889109012, 5138.539106814829, 4002.0000000001114, 4760.883196305948, 4432.712191427432, 4084.3890561918397, 5200.339495985437, 5645.230500891308, 6001.999999999867]]"
1,1,2650.0,90,0,0.0,148160.21439816206,116147.25908760709,-21.606985006463443,117485.62357480265,124167.45707420063,5.687362671351599,265645.83797296474,240314.71616180774,-9.535674266327108,False,"[[2650.0, 2872.222222222222, 3094.4444444444443, 3316.666666666667, 3538.8888888888887, 3761.1111111111113, 3983.3333333333335, 4205.555555555556, 4427.777777777777, 4650.0, 2650.0, 2650.0000000000005, 3158.8197908580337, 2650.0000000000005, 4193.689295566584, 2650.0, 4017.711915447334, 3842.3659541779543, 4323.923377817702, 4649.999999878042], [3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 6089.000008946745, 5300.000000000001, 5300.000000000001, 7299.999999999997, 5300.000000000001, 6649.316324518312, 7299.999999999999, 6461.009013256792, 5769.740194818709, 6646.6020671429305]]"
2,2,3150.0,90,0,0.0,148160.21439816206,148159.58232706666,-0.0004266132429477595,123255.2417546961,123228.54550246651,-0.021659324057560984,271415.45615285815,271388.1278295331,-0.010068816165588905,False,"[[3150.0, 3372.222222222222, 3594.4444444444443, 3816.666666666667, 4038.8888888888887, 4261.111111111111, 4483.333333333334, 4705.555555555556, 4927.777777777777, 5150.0, 3150.003520119132, 3370.138652026163, 3593.4575526941176, 3815.996531510921, 4038.5242080303888, 4259.612945970809, 4482.245983561008, 4703.005675126206, 4926.752497816386, 5149.995928154334], [4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 7297.078833372839, 7295.919316889761, 7296.111592590672, 7294.576986239132, 7295.097263143722, 7294.540262040658, 7294.975883383895, 7295.46667536014, 7296.542138520982, 7299.239942530925]]"
3,3,4300.0,90,0,0.0,148160.21439816206,110820.13049742914,-25.20250395992686,131705.58722407973,135167.96393293593,2.628876103004972,279865.8016222418,245988.09443036508,-12.10498281515806,False,"[[4300.0, 4522.222222222223, 4744.444444444444, 4966.666666666667, 5188.888888888889, 5411.111111111111, 5633.333333333334, 5855.555555555556, 6077.777777777777, 6300.0, 6270.835107046061, 4303.424023762886, 4809.257432827943, 6298.610410847352, 5217.468475203854, 5791.345797639208, 6299.999201513278, 4300.000000491573, 6299.999482955064, 5101.418612222161], [5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 9049.475524368288, 10033.787927716116, 9206.300385992086, 10599.99999970604, 10217.44743380474, 10373.602652474241, 9777.506416429598, 8600.000000025848, 8600.000001016266, 8600.000000049835]]"
4,4,12000.0,90,0,0.0,148160.21439816206,148160.21439816206,0.0,144057.92039097333,144424.27007107227,0.2543072113665562,292218.1347891354,292584.48446923436,0.12536856426220627,False,"[[12000.0, 12222.222222222223, 12444.444444444445, 12666.666666666666, 12888.888888888889, 13111.111111111111, 13333.333333333334, 13555.555555555555, 13777.777777777777, 14000.0, 12011.602643688786, 12011.602643688786, 12011.602643688786, 12011.602643688786, 12011.602643688786, 12011.602643688786, 12892.583589353597, 12011.602643688786, 13486.359747818398, 13988.397356311212], [13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784]]"
5,5,2001.0,90,0,15.0,148149.0923883173,131483.51928490438,-11.249190146727578,119172.58126549704,123956.40231696935,4.014196051367509,267321.6736538144,255439.9216018738,-4.444739511592193,False,"[[2001.0, 2223.222222222222, 2445.4444444444443, 2667.666666666667, 2889.8888888888887, 3112.1111111111113, 3334.3333333333335, 3556.5555555555557, 3778.777777777778, 4001.0, 2001.000000000003, 2001.0000000000111, 2001.0000000000164, 2001.0000000000337, 2676.260800152087, 3297.645535253579, 4000.9999999999736, 3599.3893319605554, 3800.5683436374065, 4000.9999999771426], [3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 3001.0, 6001.999999999927, 4473.237889109012, 5138.539106814829, 4002.0000000001114, 4760.883196305948, 4432.712191427432, 4084.3890561918397, 5200.339495985437, 5645.230500891308, 6001.999999999867]]"
6,6,2650.0,90,0,15.0,148149.09185132312,128393.32689885388,-13.33505639865507,125864.76360440608,130148.27186569961,3.4032624688801993,274013.8554557292,258541.5987645535,-5.646523481611115,False,"[[2650.0, 2872.222222222222, 3094.4444444444443, 3316.666666666667, 3538.8888888888887, 3761.1111111111113, 3983.3333333333335, 4205.555555555556, 4427.777777777777, 4650.0, 2650.0, 2650.0000000000005, 3158.8197908580337, 2650.0000000000005, 4193.689295566584, 2650.0, 4017.711915447334, 3842.3659541779543, 4323.923377817702, 4649.999999878042], [3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 3650.0, 6089.000008946745, 5300.000000000001, 5300.000000000001, 7299.999999999997, 5300.000000000001, 6649.316324518312, 7299.999999999999, 6461.009013256792, 5769.740194818709, 6646.6020671429305]]"
7,7,3150.0,90,0,15.0,148149.09185826327,148148.9460895274,-9.839326994821953e-05,131454.9433962174,131422.87385660046,-0.0243958414863651,279604.03525448067,279571.8199461279,-0.011521760879974547,False,"[[3150.0, 3372.222222222222, 3594.4444444444443, 3816.666666666667, 4038.8888888888887, 4261.111111111111, 4483.333333333334, 4705.555555555556, 4927.777777777777, 5150.0, 3150.003520119132, 3370.138652026163, 3593.4575526941176, 3815.996531510921, 4038.5242080303888, 4259.612945970809, 4482.245983561008, 4703.005675126206, 4926.752497816386, 5149.995928154334], [4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 4150.0, 7297.078833372839, 7295.919316889761, 7296.111592590672, 7294.576986239132, 7295.097263143722, 7294.540262040658, 7294.975883383895, 7295.46667536014, 7296.542138520982, 7299.239942530925]]"
8,8,4300.0,90,0,15.0,148149.09237431714,132288.11025982987,-10.706094691699171,138071.17106054645,138472.80743687216,0.29089083060618526,286220.2634348636,270760.917696702,-5.401205893893581,False,"[[4300.0, 4522.222222222223, 4744.444444444444, 4966.666666666667, 5188.888888888889, 5411.111111111111, 5633.333333333334, 5855.555555555556, 6077.777777777777, 6300.0, 6270.835107046061, 4303.424023762886, 4809.257432827943, 6298.610410847352, 5217.468475203854, 5791.345797639208, 6299.999201513278, 4300.000000491573, 6299.999482955064, 5101.418612222161], [5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 5300.0, 9049.475524368288, 10033.787927716116, 9206.300385992086, 10599.99999970604, 10217.44743380474, 10373.602652474241, 9777.506416429598, 8600.000000025848, 8600.000001016266, 8600.000000049835]]"
9,9,12000.0,90,0,15.0,148149.09226373018,148160.21439812786,0.007507392875469135,146826.6074312661,146657.2784200315,-0.11532583514460638,294975.69969499635,294817.4928181594,-0.05363386780691942,False,"[[12000.0, 12222.222222222223, 12444.444444444445, 12666.666666666666, 12888.888888888889, 13111.111111111111, 13333.333333333334, 13555.555555555555, 13777.777777777777, 14000.0, 12011.602643688786, 12011.602643688786, 12011.602643688786, 12011.602643688786, 12011.602643688786, 12011.602643688786, 12892.583589353597, 12011.602643688786, 13486.359747818398, 13988.397356311212], [13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 13000.0, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784, 24011.602643688784]]"
10,10,2001.0,90,0,30.0,143671.57856730762,140472.15957468716,-2.2268976401074236,103490.02018852989,122805.53175486377,18.664129672741794,247161.59875583753,263277.691329551,6.520467845668043,False,"[[2001.0, 2001.0, 2286.714285714286, 2572.4285714285716, 2858.142857142857, 3143.857142857143, 3429.5714285714284, 3715.285714285714, 4001.0, 4001.0, 3679.7635245438796, 2002.1546826826693, 2103.450218177216, 2001.0000000000039, 2233.9870913961513, 2762.458491245734, 3054.926845655223, 3353.6052739727243, 4000.9999999999986, 2482.9419946570847], [2001.0, 4001.0, 4001.0, 4001.0, 4001.0, 4001.0, 4001.0, 4001.0, 4001.0, 2001.0, 6002.0, 4422.531158427596, 4977.394920398937, 6001.999275105014, 6001.999999999999, 6002.0, 6002.0, 6002.0, 6002.0, 6001.999999999999]]"
11,11,2650.0,90,0,30.0,143851.07650614108,143617.0354165932,-0.16269679395683495,127109.76043744512,128256.49934571436,0.9021643218607014,270960.8369435862,271873.53476230754,0.33683754044182274,False,"[[2650.0, 2650.0, 2935.714285714286, 3221.4285714285716, 3507.142857142857, 3792.857142857143, 4078.5714285714284, 4364.285714285714, 4650.0, 4650.0, 2650.0, 2650.0000000000005, 2903.681555643871, 3196.8522189473397, 3477.9952619074925, 3755.257137174058, 4039.811689121625, 4341.134946237296, 4650.0, 4649.991136461983], [2650.0, 4650.0, 4650.0, 4650.0, 4650.0, 4650.0, 4650.0, 4650.0, 4650.0, 2650.0, 5470.0105198038345, 7300.0, 7299.999999999999, 7300.0, 7300.0, 7300.0, 7299.999999999999, 7300.0, 7300.0, 5469.664259474948]]"
12,12,3150.0,90,0,30.0,143852.47540027805,143680.24241733472,-0.11972889758350057,130354.04747358384,131729.04802193248,1.0548199883300813,274206.5228738619,275409.29043926724,0.4386356505306886,False,"[[3150.0, 3150.0, 3435.714285714286, 3721.4285714285716, 4007.142857142857, 4292.857142857143, 4578.571428571428, 4864.285714285714, 5150.0, 5150.0, 3150.0837093703435, 3150.0, 3393.759765485956, 3656.579017201716, 3926.580087710285, 4207.861846919171, 4499.785706489748, 4836.273817392892, 5150.0, 5149.0191348616845], [3150.0, 5150.0, 5150.0, 5150.0, 5150.0, 5150.0, 5150.0, 5150.0, 5150.0, 3150.0, 6422.182468661971, 8296.668891079808, 8300.0, 8300.0, 8300.0, 8300.0, 8299.88146539555, 8299.951422229853, 8299.917343471685, 6418.215941063248]]"
13,13,4300.0,90,0,30.0,143852.48410954032,143846.36918035644,-0.004250833221082686,136843.17993607232,136842.70096782435,-0.00035001250935468237,280695.6640456127,280689.07014818076,-0.0023491269287446953,False,"[[4300.0, 4300.0, 4585.714285714285, 4871.428571428572, 5157.142857142857, 5442.857142857143, 5728.571428571428, 6014.285714285714, 6300.0, 6300.0, 4300.000077397869, 4300.0, 4580.981748343904, 4860.3824682095255, 5144.24247711963, 5437.814947295657, 5727.4358298102925, 6010.279754097701, 6299.999625281399, 6299.833458225765], [4300.0, 6300.0, 6300.0, 6300.0, 6300.0, 6300.0, 6300.0, 6300.0, 6300.0, 4300.0, 8600.0, 10593.143567808005, 10600.0, 10600.0, 10600.0, 10600.0, 10600.0, 10600.0, 10600.0, 8603.521888341213]]"
14,14,12000.0,90,0,30.0,143852.0991628299,143852.445598365,0.00024082758411812482,143188.7538884145,143188.2383587217,-0.00036003504382406686,287040.85305124446,287040.6839570868,-5.8909439489381826e-05,False,"[[12000.0, 12000.0, 12285.714285714286, 12571.42857142857, 12857.142857142857, 13142.857142857143, 13428.57142857143, 13714.285714285714, 14000.0, 14000.0, 12000.032877854836, 12000.006148426266, 12283.397029870657, 12570.544961703223, 12855.274904309681, 13139.997852203403, 13423.737698406761, 13713.810303393384, 13999.999998492087, 13999.999999992066], [12000.0, 14000.0, 14000.0, 14000.0, 14000.0, 14000.0, 14000.0, 14000.0, 14000.0, 12000.0, 24000.06128635785, 26000.0, 25999.974774042268, 26000.0, 25999.999999999996, 26000.0, 25999.9999954286, 25999.99981942298, 25999.999999999996, 24000.052639475525]]"
